iter	RMSE
0	11.21147754
1	11.15716575
2	11.0864859
3	11.01770513
4	10.95498256
5	10.89220976
6	10.83289928
7	10.77678696
8	10.712685
9	10.6546393
10	10.60926506
11	10.55098302
12	10.49814687
13	10.44939994
14	10.39988423
15	10.3472354
16	10.29473268
17	10.24729016
18	10.2024929
19	10.15539678
20	10.11071703
21	10.06912378
22	10.02475892
23	9.982696574
24	9.945620371
25	9.906175981
26	9.871605823
27	9.834587512
28	9.790089142
29	9.751623251
30	9.722423762
31	9.6801713
32	9.64259854
33	9.603059262
34	9.572529516
35	9.538659491
36	9.50463182
37	9.471637865
38	9.44156426
39	9.408212634
40	9.378595469
41	9.345467058
42	9.320529236
43	9.287226149
44	9.259239147
45	9.234863498
46	9.203008147
47	9.175703912
48	9.151978124
49	9.123054201
50	9.093145182
51	9.069965082
52	9.04300783
53	9.012327711
54	8.987249175
55	8.961103131
56	8.936482711
57	8.91112116
58	8.887265487
59	8.861419461
60	8.834777333
61	8.812913303
62	8.790091428
63	8.766828178
64	8.748969524
65	8.726667582
66	8.705547436
67	8.683410454
68	8.662142264
69	8.64361634
70	8.621464859
71	8.605087686
72	8.586777894
73	8.571298076
74	8.55267414
75	8.533097577
76	8.51650733
77	8.499288312
78	8.481365987
79	8.465530575
80	8.447541031
81	8.429913611
82	8.413707063
83	8.397624185
84	8.385628013
85	8.36828963
86	8.353319266
87	8.337776043
88	8.317608117
89	8.303679247
90	8.2860863
91	8.270680007
92	8.256479264
93	8.242263972
94	8.22810019
95	8.212303678
96	8.198382066
97	8.187752455
98	8.174319778
99	8.159866836
100	8.14963984
101	8.136421525
102	8.12399565
103	8.108919021
104	8.093953216
105	8.08509749
106	8.070062189
107	8.058705834
108	8.048787975
109	8.037333022
110	8.022017308
111	8.010255579
112	7.997900449
113	7.982683391
114	7.970352298
115	7.958840701
116	7.945507536
117	7.932890988
118	7.918882772
119	7.90648431
120	7.894453759
121	7.883303115
122	7.871801306
123	7.861554692
124	7.852337154
125	7.84062435
126	7.831407017
127	7.821020551
128	7.811865461
129	7.803852133
130	7.793534993
131	7.784345718
132	7.775752479
133	7.766136068
134	7.756889771
135	7.747457214
136	7.736981492
137	7.727488283
138	7.715805286
139	7.705676635
140	7.695075465
141	7.685953497
142	7.67407678
143	7.665356874
144	7.657113913
145	7.648692386
146	7.640118026
147	7.632366358
148	7.623907575
149	7.615301689
150	7.605397599
151	7.596211543
152	7.589433618
153	7.581900489
154	7.573872729
155	7.566451131
156	7.560079164
157	7.550347295
158	7.541096868
159	7.529220608
160	7.522703725
161	7.514980796
162	7.507558163
163	7.500335154
164	7.49113302
165	7.484336858
166	7.477436934
167	7.470070043
168	7.46272293
169	7.455554488
170	7.448131356
171	7.44178982
172	7.435744744
173	7.430325097
174	7.421692483
175	7.416957742
176	7.409938476
177	7.40355276
178	7.396377816
179	7.389518189
180	7.384225072
181	7.379792959
182	7.373265778
183	7.363656335
184	7.358825993
185	7.350810135
186	7.343203846
187	7.335710041
188	7.328396811
189	7.322461315
190	7.31611333
191	7.3087622
192	7.302439724
193	7.296489754
194	7.289649981
195	7.283209646
196	7.278231453
197	7.271414275
198	7.267169202
199	7.261174336
200	7.250744905
201	7.244100455
202	7.236961213
203	7.23231702
204	7.222809796
205	7.218963607
206	7.212301565
207	7.207303542
208	7.202233622
209	7.197377374
210	7.194085523
211	7.186889333
212	7.181256524
213	7.175031823
214	7.171444087
215	7.164546827
216	7.160292893
217	7.154936767
218	7.14982991
219	7.145556269
220	7.138802384
221	7.134200294
222	7.130725083
223	7.123301055
224	7.117093612
225	7.112508207
226	7.107467101
227	7.100879256
228	7.095884004
229	7.091344647
230	7.084885586
231	7.079810876
232	7.074466111
233	7.069940136
234	7.063163746
235	7.057003961
236	7.051373133
237	7.04441284
238	7.040748817
239	7.036795817
240	7.033935531
241	7.029109965
242	7.021150157
243	7.019036832
244	7.013639716
245	7.007061247
246	7.002589125
247	6.998032343
248	6.99158728
249	6.987073846
250	6.981997786
251	6.977420323
252	6.973988128
253	6.968346928
254	6.963159237
255	6.958545537
256	6.954702716
257	6.950523842
258	6.946587601
259	6.943816193
260	6.937894804
261	6.933127584
262	6.929794289
263	6.924894031
264	6.921932638
265	6.917362737
266	6.910077381
267	6.90644167
268	6.901845374
269	6.897241667
270	6.895231731
271	6.89292896
272	6.888096326
273	6.88382031
274	6.879503342
275	6.875023654
276	6.872670126
277	6.868892631
278	6.862800924
279	6.858376837
280	6.850936013
281	6.847384123
282	6.839516889
283	6.834999185
284	6.828665017
285	6.822610347
286	6.81808443
287	6.812001013
288	6.808232455
289	6.803982004
290	6.799930826
291	6.795106164
292	6.790909429
293	6.787558411
294	6.782521523
295	6.776962052
296	6.770672538
297	6.765759503
298	6.762015622
299	6.757737516
300	6.756650063
301	6.750636412
302	6.746102949
303	6.741668152
304	6.737424461
305	6.73276082
306	6.727979697
307	6.722126939
308	6.715793938
309	6.712098421
310	6.706131723
311	6.701356895
312	6.698103025
313	6.694897457
314	6.690586478
315	6.686009805
316	6.682180564
317	6.679996251
318	6.676079537
319	6.670256791
320	6.665348917
321	6.661682051
322	6.65750234
323	6.652899356
324	6.648945058
325	6.646233252
326	6.642238579
327	6.63848259
328	6.635119407
329	6.62878288
330	6.624357903
331	6.621152842
332	6.618401803
333	6.615462385
334	6.612080581
335	6.608815072
336	6.605877034
337	6.600600282
338	6.597608214
339	6.59048883
340	6.586944567
341	6.583920802
342	6.579148002
343	6.575072242
